# grep-tells.tsv — TIER 1 (flat-presence) rules for audit-swiftui-touch-gestures (tg-01 … tg-11).
# Columns (TAB-separated): id <TAB> severity <TAB> ERE-regex <TAB> message
# severity: hard | warn | adv   (hard → runner exits 2). The runner greps each ERE over the target *.swift.
# This LOCATES only — the LLM agent READS each hit (SKILL.md step 3) and decides. Absence defects
# (tg-06 missing accessibilityAction, tg-07 missing contextMenu, tg-11 missing refreshable) are located by
# surfacing interactive-view / gesture CANDIDATES; the agent judges absence after READ. Structural rules
# grep cannot express (macOS-arm gate scope, gesture co-occurrence) live in ast-grep/*.yml (tier 2).
# Full ❌→✅ + sources: ../references/*.md (routed from SKILL.md).
tg-01	warn	MagnificationGesture	DEPRECATED → MagnifyGesture (iOS 17, at the floor → no gate). Owns the rewrite mechanics; cross_ref api-currency for the flag (tg-01).
tg-02	warn	RotationGesture	DEPRECATED → RotateGesture (iOS 17, at the floor → no gate). Owns the rewrite mechanics; cross_ref api-currency for the flag (tg-02).
tg-03	warn	DragGesture\(|MagnifyGesture\(|RotateGesture\(	continuous gesture — READ it: if it has no @GestureState (nor a committed @State written in .onChanged/.updating), the in-flight value is lost (tg-03).
tg-04	adv	\.gesture\(	plain .gesture — if attached to a control that already has a built-in gesture (Button/Slider/ScrollView/List row), it may swallow it → .simultaneousGesture / .highPriorityGesture (tg-04, verify against Xcode 26 SDK).
tg-05	warn	\.onHover[[:space:]]*\{|onContinuousHover\(|\.pointerStyle\(	pointer-only affordance — READ it: .onHover/onContinuousHover/pointerStyle never fire from a finger. If it is the ONLY interaction (no tap/gesture fallback) the view is dead on iPhone (tg-05). cross_ref ios-idiomaticness.
tg-06	warn	\.onTapGesture[[:space:]]*[\({]|onLongPressGesture\(	custom touch gesture CANDIDATE — READ it: a bare onTapGesture/onLongPressGesture on a plain view with NO .accessibilityAction (and no Button/NavigationLink) is unreachable by VoiceOver (tg-06). cross_ref accessibility.
tg-07	warn	(List|ForEach|Table)[[:space:]]*[\({]	row/item container CANDIDATE — READ it: if a row has secondary actions but NO touch-and-hold .contextMenu, the iOS idiom is missing (tg-07).
tg-08	hard	\.pointerStyle\(|PointerStyle	pointerStyle has NO iOS arm (macOS/visionOS only) — platform-wrong on iOS. Replace with a touch interaction; an #available(iOS …) wrapper cannot conjure it (tg-08). fix_mode: flag.
tg-10	adv	\.swipeActions[[:space:]]*[\({]	swipe-to-act is a hidden iOS idiom — if it is the ONLY path to a row's secondary actions, also expose them in a touch-and-hold .contextMenu (tg-10).
tg-11	adv	(List|ScrollView)[[:space:]]*[\({]	scrollable container CANDIDATE — READ it: if it lists async/remote data and has NO .refreshable, the pull-to-refresh idiom is missing (tg-11, UNVERIFIED judgment — a static/local list should not refresh).
